,station,sample,core,cruise,time,year,month,day,hour,x,y,y_adj,temperature,depth,grain_phi,grain_mm,grain_slope,mud_percent,vf_sand_percent,f_sand_percent,m_sand_percent,c_sand_percent,vc_sand_percent,vf_pebbles_percent,f_pebbles_percent,pebbles_percent,tom_proportion,shear_stress,vms_ospar,seq_depth
H01,CLS_13,CLS_13a,a,HE562,T07:10:00,2020,10,4,7,8.00354,54.41448,54.414479,17,16.10013029,2.023943997,245.8850632,3.846620204,0.072891127,0.410840899,54.64846597,42.4822742,1.908422238,0.337949771,0.139155788,0,0,0.004707001,1.127,0.75540402,18097
H02,CLS_13,CLS_13c,c,HE562,T07:10:00,2020,10,4,7,8.00354,54.41448,54.414481,17,16.10013029,2.023943997,245.8850632,3.846620204,0.072891127,0.410840899,54.64846597,42.4822742,1.908422238,0.337949771,0.139155788,0,0,0.004707001,1.127,0.75540402,18497
H03,CLS_25,CLS_25a,a,HE562,T08:02:00,2020,9,30,8,7.83406,54.91711,54.917109,17,19.22758081,2.43652439,184.7281468,3.330338274,1.26176219,7.841459937,77.33105218,11.56971771,1.404334189,0.420587397,0.171086399,0,0,0.002775413,0.5303,0.344426663,31218
H04,CLS_25,CLS_25c,c,HE562,T08:02:00,2020,9,30,8,7.83406,54.91711,54.917111,17,19.22758081,2.43652439,184.7281468,3.330338274,1.26176219,7.841459937,77.33105218,11.56971771,1.404334189,0.420587397,0.171086399,0,0,0.002775413,0.5303,0.344426663,30925
H05,CLS_47,CLS_47a,a,HE562,T12:08:00,2020,9,29,12,7.34634,55.02237,55.022369,16,30.53007385,2.09799241,233.5830657,2.659768071,2.184752657,5.537331059,45.19748065,44.9022438,1.515549141,0.636399423,0.026243275,0,0,0.050247239,0.5623,0.06393013,16844
H06,CLS_47,CLS_47b,b,HE562,T12:08:00,2020,9,29,12,7.34634,55.02237,55.02237,16,30.53007385,2.09799241,233.5830657,2.659768071,2.184752657,5.537331059,45.19748065,44.9022438,1.515549141,0.636399423,0.026243275,0,0,0.050247239,0.5623,0.06393013,17700
H07,CLS_47,CLS_47c,c,HE562,T12:08:00,2020,9,29,12,7.34634,55.02237,55.022371,16,30.53007385,2.09799241,233.5830657,2.659768071,2.184752657,5.537331059,45.19748065,44.9022438,1.515549141,0.636399423,0.026243275,0,0,0.050247239,0.5623,0.06393013,2223
H08,CLS_48,CLS_48a,a,HE562,T10:07:00,2020,9,28,10,7.11788,55.0534,55.053399,17,33.79138818,2.829542875,140.6768777,2.950605505,3.019456681,33.74632893,57.56240822,4.386930984,0.963656388,0.293685756,0.02753304,0,0,0.00801563,0.528,0.051279944,7908
H09,CLS_48,CLS_48b,b,HE562,T10:07:00,2020,9,28,10,7.11788,55.0534,55.0534,17,33.79138818,2.829542875,140.6768777,2.950605505,3.019456681,33.74632893,57.56240822,4.386930984,0.963656388,0.293685756,0.02753304,0,0,0.00801563,0.528,0.051279944,24081
H10,CLS_48,CLS_48c,c,HE562,T10:07:00,2020,9,28,10,7.11788,55.0534,55.053401,17,33.79138818,2.829542875,140.6768777,2.950605505,3.019456681,33.74632893,57.56240822,4.386930984,0.963656388,0.293685756,0.02753304,0,0,0.00801563,0.528,0.051279944,16676
